%abb	apple	boeing	coca_cola	emerson_electric	general_electric	hawlett_packard	hitachi	IBM	intel	jonson_jonson	lockheed	mocrosoft	northrop	novartis	palmolive	pepsico	procter_gamble	semiconductors	wisconsin_energy
20.08	207.72	60.43	56.88	44.49	16.77	51.97	32.14	130.51	20.61	64.56	75.96	30.07	57.56	52.68	80.68	61.55	60.89	14.67	50.30
20.48	210.11	60.87	56.27	44.73	16.76	52.43	31.38	129.48	20.95	64.22	75.97	30.27	57.50	53.27	81.15	60.70	60.20	15.04	50.51
20.74	211.98	61.60	55.15	44.06	16.60	52.59	31.16	130.85	20.83	64.21	75.61	30.66	57.44	52.33	81.51	60.77	60.44	15.26	49.77
20.17	210.58	62.20	56.19	43.81	16.25	52.20	30.92	129.55	20.60	63.99	74.41	30.45	57.76	51.91	83.00	60.97	60.52	15.01	49.48
20.00	210.97	59.78	56.33	43.81	15.45	52.18	30.87	130.00	20.80	64.45	76.51	30.77	57.17	52.37	83.33	61.36	60.85	15.18	49.58
19.77	214.38	58.02	56.35	43.42	15.53	52.67	30.93	130.85	20.87	63.93	77.65	30.96	56.95	52.56	83.52	61.98	61.14	15.11	49.08
19.64	214.01	56.18	57.04	43.35	15.45	52.45	31.30	132.45	20.88	64.68	76.85	30.95	56.85	52.61	82.85	61.24	61.12	15.34	49.73
19.10	210.73	54.13	57.00	42.60	15.13	51.51	30.68	130.90	20.40	64.41	75.35	30.48	55.85	54.43	82.15	60.80	60.63	15.36	49.83
19.22	211.64	54.96	57.68	43.34	15.35	52.93	30.89	132.57	20.59	64.91	76.12	30.96	56.83	54.64	82.85	61.31	61.37	15.50	50.42
19.24	209.10	55.21	57.74	43.37	15.44	52.57	29.95	131.85	20.40	64.94	76.66	31.39	56.84	54.87	82.86	61.10	61.58	15.24	50.27
19.10	211.61	55.14	57.44	43.36	15.34	52.76	30.12	132.31	20.30	64.94	75.70	31.17	56.83	54.75	82.95	61.16	61.25	15.12	49.94
19.05	209.04	55.48	57.44	43.36	15.44	52.87	29.84	130.57	20.33	64.70	75.11	31.00	56.04	54.84	83.15	60.96	61.28	15.32	49.97
18.95	202.10	54.96	57.29	42.91	15.41	52.49	29.65	130.00	20.10	64.57	75.23	30.92	55.87	54.60	83.44	60.68	61.31	15.14	49.50
18.74	200.36	55.10	57.27	42.62	15.48	52.46	29.45	129.93	20.04	64.53	75.65	30.82	56.11	54.22	83.24	60.63	61.30	15.28	49.00
18.48	198.23	54.30	57.18	42.40	15.57	51.99	29.43	128.65	20.09	64.33	76.27	30.52	56.21	53.80	83.23	60.48	61.30	15.26	48.86
18.24	195.43	53.44	56.92	41.78	15.59	51.50	28.76	127.91	19.63	64.37	76.34	30.36	55.72	54.21	82.62	59.48	61.55	15.00	48.58
18.14	191.86	54.47	56.98	41.50	15.79	50.56	27.99	127.40	19.07	64.47	76.08	29.60	55.41	53.90	82.88	60.04	61.59	14.79	47.97
18.27	195.03	55.13	58.42	41.70	15.69	51.36	27.48	128.71	19.38	64.80	77.46	30.10	55.63	54.14	84.62	60.68	62.16	15.01	48.08
18.07	194.17	55.67	59.06	42.21	15.75	50.99	27.70	128.49	19.80	64.74	77.61	30.02	55.81	53.76	84.50	60.99	62.12	14.77	47.87
18.39	196.98	56.05	59.04	42.41	15.95	50.68	26.68	129.93	19.98	64.96	77.82	30.11	56.63	54.21	84.49	60.98	63.01	14.93	48.30
17.94	194.67	55.60	59.11	42.00	15.92	50.05	26.36	129.68	19.90	64.85	76.78	29.85	55.16	53.83	83.92	61.27	62.34	14.73	48.23
17.83	196.43	55.01	58.58	41.71	15.61	50.14	26.60	129.34	20.15	64.77	75.98	29.87	54.79	54.16	82.82	61.84	62.24	15.28	47.00
17.91	197.80	55.47	57.83	41.33	15.66	49.95	26.44	128.39	20.01	64.38	75.40	29.71	54.40	54.68	82.50	61.80	62.24	15.50	46.41
18.04	189.87	55.66	57.68	40.83	15.72	48.94	26.44	126.80	19.99	64.25	77.66	29.57	55.01	55.33	82.00	63.48	61.87	15.17	46.28
18.25	188.95	55.82	57.87	41.99	16.08	49.21	26.18	127.04	20.37	64.37	78.67	29.79	56.10	55.50	82.98	64.23	62.47	15.49	46.48
18.54	193.32	54.68	57.49	42.14	16.20	49.79	27.74	127.25	20.46	64.36	78.21	29.98	55.89	55.55	85.21	63.85	62.60	15.45	46.31
18.65	196.48	53.77	57.27	41.47	16.00	48.96	26.63	127.55	19.87	64.16	77.47	29.83	54.91	55.78	85.65	62.76	62.56	15.40	46.13
18.83	196.23	53.78	57.96	41.98	16.07	48.98	27.03	127.21	19.72	63.88	78.19	29.78	55.27	55.77	86.32	63.65	63.19	15.29	46.16
18.72	196.97	53.72	58.08	42.19	16.17	49.59	27.39	127.94	19.66	63.51	78.93	30.01	55.26	56.16	85.75	63.87	62.91	15.02	45.80
18.36	199.91	52.41	57.20	41.41	16.02	49.06	27.00	126.35	19.20	62.84	77.23	29.41	54.80	55.60	84.19	62.22	62.35	14.60	45.10
18.50	200.59	52.45	57.18	41.50	15.94	49.07	27.26	125.70	19.11	62.89	77.10	29.22	55.00	55.38	83.63	62.30	62.48	14.47	45.02
19.21	204.19	52.93	58.11	42.32	16.18	50.05	27.13	127.28	19.34	63.30	78.60	29.79	55.90	55.85	84.46	63.19	62.87	14.57	45.64
19.01	204.44	51.97	58.19	42.25	16.12	50.19	27.84	127.93	19.39	63.18	77.56	29.91	55.95	55.30	85.06	62.50	62.80	14.45	45.71
19.07	205.88	52.63	58.24	42.30	16.02	51.02	28.64	128.20	19.40	62.69	77.28	29.94	56.05	54.75	84.57	62.49	62.73	13.81	45.70
18.70	199.92	51.70	57.48	41.68	15.59	50.04	28.28	126.96	19.24	62.31	76.10	29.62	55.00	53.13	83.97	62.08	61.80	13.61	45.10
18.63	200.51	51.43	56.88	41.86	15.76	49.82	27.83	127.54	19.30	62.43	75.28	29.78	54.50	53.29	84.42	61.88	62.15	13.78	44.44
19.17	205.96	52.02	56.58	42.77	16.09	50.48	28.85	128.15	20.12	62.32	75.36	30.11	55.52	53.73	85.87	62.30	62.41	14.38	44.76
19.21	207.00	52.53	56.87	42.61	16.02	51.32	29.48	128.63	20.32	62.17	76.31	30.00	56.03	53.50	82.84	62.60	62.31	14.44	44.84
19.64	206.63	52.48	56.74	42.40	16.00	50.81	30.45	128.21	20.23	62.19	76.98	29.54	56.01	54.04	82.40	62.43	62.27	14.45	44.91
19.67	204.45	50.68	56.46	41.77	15.66	49.91	32.64	127.03	19.82	61.43	76.07	29.63	55.27	53.24	81.49	61.94	61.61	14.00	44.50
19.51	201.99	50.28	55.94	41.33	15.75	49.70	32.90	126.26	19.68	61.15	74.10	29.36	54.61	52.80	80.50	61.27	61.30	13.85	44.45
19.99	203.25	50.68	56.13	41.35	15.83	50.00	33.40	127.19	19.84	60.87	75.08	29.12	54.82	53.47	81.72	62.60	62.23	13.97	45.15
20.04	202.98	50.32	55.81	41.42	15.78	49.96	33.38	126.91	19.50	61.23	74.60	29.01	53.96	53.72	81.47	62.08	61.86	13.77	45.23
19.92	201.46	51.35	55.48	41.86	15.85	49.99	33.50	126.00	19.46	60.75	75.59	28.99	53.93	53.58	81.23	62.28	61.85	13.65	45.23
19.52	194.34	49.68	54.49	41.23	15.33	49.16	33.79	123.49	18.93	60.30	73.77	28.52	52.37	52.80	79.87	61.76	61.04	13.19	44.61
19.33	194.03	49.77	54.40	41.12	14.43	48.85	32.32	123.10	18.89	59.98	72.86	28.47	51.75	52.58	79.60	61.23	60.47	13.33	44.70
18.92	190.81	48.07	53.49	39.73	14.19	47.76	32.37	121.29	18.59	59.52	70.40	28.06	50.48	52.24	78.33	60.38	59.03	13.00	43.79
18.80	188.75	48.10	53.12	38.97	14.32	47.51	32.33	121.16	18.50	58.93	69.40	27.53	50.12	52.13	77.55	60.06	58.58	12.93	43.18
18.75	189.31	48.27	53.72	38.15	14.47	48.16	32.25	120.56	19.01	59.49	68.87	27.88	50.55	52.33	78.70	60.60	58.95	12.84	43.25
18.53	188.50	47.80	53.31	37.75	14.26	47.46	32.13	120.61	19.11	59.05	68.79	27.73	50.13	51.95	78.63	60.55	58.00	12.94	43.67
19.56	196.35	48.81	54.09	39.34	14.87	48.35	32.27	122.87	19.22	59.86	69.49	28.22	50.58	52.42	78.94	61.39	59.54	13.42	44.41
19.53	192.40	47.22	53.51	38.45	14.42	46.93	31.81	121.50	19.03	59.57	68.32	28.02	50.39	51.61	77.68	60.99	57.23	13.14	44.02
20.56	197.37	47.75	53.46	39.23	14.93	47.30	32.97	120.65	19.74	60.02	70.01	28.59	50.90	52.01	77.85	61.00	57.18	13.30	43.95
20.71	202.48	48.29	53.23	39.31	15.01	47.86	32.79	120.11	19.83	60.09	71.47	28.68	50.64	51.00	77.42	60.47	56.90	13.69	44.09
21.38	203.94	49.89	53.24	39.68	15.20	48.56	31.64	120.36	19.78	60.54	72.19	28.02	49.66	51.89	77.72	61.03	57.64	13.68	44.45
21.62	205.20	51.07	54.15	40.17	15.34	48.32	32.39	122.69	20.12	60.94	71.58	26.59	49.99	52.20	79.38	61.50	58.13	14.19	44.92
21.17	204.92	50.63	54.07	39.49	15.53	48.22	32.20	120.87	19.86	60.31	69.66	26.58	49.59	51.71	78.92	61.84	57.49	14.08	44.65
21.33	198.76	51.89	54.07	39.59	15.58	48.74	32.46	122.82	20.18	60.59	71.99	26.37	49.79	52.16	79.44	61.58	58.13	14.55	44.80
21.51	189.86	53.45	54.79	39.63	15.84	48.47	33.17	123.06	20.41	61.16	76.99	26.36	51.19	52.03	79.47	62.05	57.79	14.55	45.32
21.43	188.05	53.19	55.01	39.12	16.08	48.37	32.25	121.64	20.18	60.46	75.44	26.50	50.80	51.11	79.26	62.29	57.44	14.51	45.03
21.90	190.56	51.76	54.92	39.83	16.79	48.00	33.71	127.98	20.67	60.94	74.87	26.71	51.05	51.68	78.77	62.68	57.24	14.70	44.67
21.78	191.29	52.51	54.84	39.87	16.84	47.89	33.63	128.35	20.83	60.55	75.15	25.96	51.15	51.00	78.66	61.62	57.31	14.96	44.68
20.92	190.02	51.90	54.80	39.12	16.39	46.69	33.75	127.02	20.49	61.01	74.10	25.81	50.88	50.28	78.66	60.60	57.26	14.40	44.05
21.06	190.81	51.66	54.79	39.45	16.33	47.04	33.57	127.04	20.40	62.53	74.42	25.72	51.08	50.62	79.62	60.92	57.50	14.40	44.59
20.72	190.47	52.69	54.65	39.10	16.18	47.38	33.39	125.93	20.17	61.74	75.82	25.55	51.25	50.10	78.71	60.59	57.56	14.20	44.47
20.62	189.27	52.30	54.59	39.02	16.22	46.46	33.75	122.29	19.88	60.94	73.00	25.67	50.57	50.10	78.71	60.39	57.65	13.68	44.44
19.77	190.25	51.79	54.81	38.75	16.16	46.56	32.60	122.78	19.75	60.71	74.03	25.10	50.43	49.56	77.76	61.17	56.95	13.29	44.56
20.03	190.01	52.29	54.32	39.22	16.08	47.01	31.48	121.35	19.63	60.29	76.18	25.11	50.92	50.13	77.92	60.87	57.03	13.58	44.52
19.64	186.02	52.28	53.80	38.68	15.83	46.07	30.35	119.75	19.10	59.82	74.99	24.64	50.47	49.83	76.86	60.85	56.68	13.44	44.00
19.42	184.90	51.40	53.87	38.31	15.36	45.28	30.27	119.02	18.97	59.73	75.37	24.96	50.18	49.59	76.84	60.90	56.75	13.21	44.28
19.46	180.86	52.11	53.12	39.09	15.97	45.96	30.31	117.90	18.90	59.81	76.61	24.88	50.08	49.50	75.82	58.46	56.62	13.38	44.75
20.04	185.35	54.15	53.70	40.08	16.42	47.21	30.63	119.61	19.57	60.89	78.08	25.72	51.75	50.38	76.28	58.66	57.92	14.27	45.17
20.10	185.38	54.62	53.31	40.12	16.71	47.44	31.23	118.81	19.48	60.93	79.05	25.75	52.75	49.41	76.55	58.51	57.91	14.33	45.58
20.21	186.15	53.07	53.13	39.61	16.76	47.88	32.14	119.33	19.74	61.27	78.40	25.83	51.80	49.14	76.38	59.03	58.16	14.69	45.16
20.10	182.37	51.52	52.97	38.92	16.37	47.02	32.74	121.08	19.37	60.62	77.89	25.55	51.00	48.86	76.50	58.68	58.01	14.59	44.49
20.49	183.82	51.79	52.34	39.38	16.58	46.87	32.88	120.94	19.54	60.72	76.95	25.94	51.03	48.77	76.38	58.54	57.84	14.76	44.80
20.86	185.50	52.37	52.58	40.06	17.00	46.93	33.56	120.82	19.88	60.77	78.83	25.71	51.55	48.93	76.36	58.47	57.25	14.89	44.82
20.91	184.48	53.14	52.85	40.58	17.01	47.01	33.76	121.61	19.53	61.08	79.56	25.77	51.31	49.14	75.66	58.58	57.24	14.63	44.81
20.38	184.02	52.86	53.00	40.22	16.76	46.35	33.51	121.57	19.54	60.67	79.24	25.30	51.28	48.47	75.70	59.02	57.10	14.67	45.04
20.48	185.02	53.02	53.76	41.12	16.50	46.15	33.71	122.11	19.56	60.78	80.08	25.26	51.82	48.22	76.10	59.86	57.32	14.76	45.26
20.33	184.55	52.88	53.42	41.24	16.66	45.71	33.35	121.88	19.41	60.77	79.56	25.30	50.62	48.20	75.26	58.80	55.53	14.77	45.53
21.02	181.87	52.36	52.67	41.17	17.00	45.64	34.25	121.82	19.65	60.19	76.16	25.20	49.85	48.60	75.51	58.34	55.31	15.11	45.64
20.61	175.16	52.07	52.45	40.01	16.00	45.64	34.03	119.35	19.55	60.15	75.70	25.20	49.51	47.80	74.45	58.29	55.03	15.05	45.52
20.52	173.72	50.97	52.16	39.58	15.35	45.70	33.91	118.88	19.36	60.34	75.59	25.00	49.28	47.70	75.05	58.70	55.30	14.92	45.07
20.54	172.16	51.35	51.51	39.38	14.67	46.10	35.07	118.05	19.51	60.42	75.64	24.86	49.00	47.60	75.23	58.81	55.64	15.03	44.63
20.80	172.56	50.49	50.58	39.58	14.80	46.50	35.15	117.67	19.76	60.66	73.56	25.00	48.78	47.60	73.23	57.86	56.04	15.97	44.80
20.12	171.14	50.53	50.63	38.78	14.87	45.98	34.48	116.76	19.93	60.92	73.13	24.78	48.61	47.41	72.04	58.04	53.76	15.72	45.05
19.39	172.93	49.50	50.41	38.03	14.50	45.47	34.45	117.16	19.80	60.57	74.17	24.82	48.69	47.32	71.49	58.28	54.20	15.98	45.11
18.98	170.31	49.15	49.95	37.41	13.87	45.10	34.20	117.46	19.64	60.32	75.28	24.62	48.69	46.29	71.08	57.54	52.86	15.72	44.86
18.80	166.55	48.46	49.58	36.75	13.45	44.45	34.38	116.33	19.42	59.69	74.88	24.11	47.94	45.79	71.17	56.64	52.87	15.39	44.79
18.53	165.18	48.40	49.80	36.23	13.20	44.25	34.90	116.09	19.47	59.76	74.56	23.86	47.91	46.04	72.00	56.35	52.80	15.23	44.84
18.37	165.30	48.77	48.53	36.12	13.34	43.87	34.63	116.69	19.72	59.94	75.60	24.00	48.81	45.93	71.78	56.25	53.02	15.10	45.10
19.17	168.21	49.67	48.77	36.87	13.90	44.89	35.12	118.05	20.32	60.44	74.98	24.65	48.81	46.47	72.70	56.67	54.11	15.17	45.47
19.49	170.05	51.04	49.06	37.20	14.08	44.76	34.96	118.22	20.25	60.29	74.95	24.68	48.86	46.41	72.76	56.76	53.19	15.36	45.91
19.33	169.45	51.82	49.44	37.43	14.19	44.81	34.73	119.43	19.47	60.49	75.54	24.69	49.33	46.63	73.23	57.76	53.06	15.15	46.26
19.23	167.41	47.82	49.18	37.56	14.11	44.48	35.08	119.47	19.43	60.63	74.58	24.55	48.90	45.98	73.30	57.88	53.36	15.15	46.23
19.59	169.40	48.25	48.74	37.57	14.30	44.68	35.31	118.83	19.10	61.14	74.43	24.64	49.36	45.85	73.09	57.29	53.40	14.82	45.78
