%abb	apple	boeing	coca_cola	emerson_electric	general_electric	hawlett_packard	hitachi	IBM	intel	jonson_jonson	lockheed	mocrosoft	northrop	novartis	palmolive	pepsico	procter_gamble	semiconductors	wisconsin_energy
19.16	261.09	72.43	53.45	52.23	18.86	51.97	43.87	129.00	22.84	64.30	84.89	30.54	67.83	50.85	84.10	65.22	62.16	14.78	52.51
19.34	268.64	73.79	53.74	53.21	19.49	52.88	44.85	130.46	23.49	65.01	86.37	31.00	69.38	51.25	84.80	65.20	62.20	15.31	52.19
19.28	261.60	72.37	53.36	52.47	18.95	53.28	44.25	130.10	23.26	64.62	84.96	30.91	68.67	51.09	85.00	64.75	63.17	15.04	51.00
19.67	262.04	72.48	52.87	50.90	18.70	53.25	43.66	128.82	23.35	64.28	84.50	30.85	67.18	51.06	83.59	64.23	63.11	14.77	50.88
20.50	269.50	74.34	53.73	52.61	19.30	54.26	44.24	130.73	23.82	64.76	86.09	31.11	68.93	52.02	84.20	65.02	63.94	15.37	51.85
21.08	270.83	75.13	53.88	52.74	19.07	53.90	42.64	129.99	24.04	65.04	86.92	30.96	68.99	52.47	83.27	64.71	63.54	15.27	51.98
20.67	266.47	75.59	54.31	52.59	18.95	53.31	43.28	129.13	23.99	64.78	86.67	31.39	68.99	52.14	83.98	64.76	63.59	15.22	51.82
22.28	259.22	74.16	54.19	51.91	19.03	53.70	42.11	128.99	23.80	65.39	86.25	31.33	68.37	52.88	84.70	65.98	63.63	15.31	51.66
22.46	244.59	71.41	54.47	52.10	19.00	53.56	41.76	129.69	24.12	65.99	84.97	31.36	67.43	53.41	84.54	65.90	63.19	15.72	51.38
22.24	247.07	70.96	55.32	51.65	18.94	53.64	41.27	132.23	24.00	66.03	84.20	31.04	66.42	53.37	84.15	66.12	63.22	15.57	50.77
22.32	247.40	70.79	54.97	51.80	18.97	53.75	40.64	130.63	23.92	65.02	82.99	30.67	65.97	53.35	84.25	66.14	62.85	15.67	50.56
22.51	248.92	72.09	54.26	52.95	19.50	54.23	40.24	130.89	24.22	65.51	83.22	30.87	66.82	53.71	84.25	66.27	63.00	15.78	50.94
22.56	245.69	71.70	54.95	51.90	19.35	54.52	40.26	131.25	23.52	65.49	82.61	30.82	66.85	53.60	84.64	66.29	63.19	15.85	51.37
22.32	242.43	71.19	55.02	51.15	18.95	53.78	39.64	129.03	22.77	65.68	82.60	30.45	66.64	53.71	84.55	66.39	63.00	15.03	50.96
22.44	242.29	71.92	54.76	50.79	18.71	53.88	39.71	128.36	22.54	65.11	82.92	30.32	66.22	53.48	84.79	66.32	62.70	14.92	50.84
22.33	241.79	72.42	54.59	50.80	18.52	53.87	39.58	128.76	22.55	65.14	82.79	30.34	66.15	53.11	84.27	66.36	62.73	14.71	50.48
21.93	239.95	72.28	53.76	50.94	18.56	53.63	39.38	127.61	22.31	64.93	82.19	29.92	65.10	52.22	84.56	65.97	62.56	14.59	50.18
22.00	240.60	72.10	53.82	50.45	18.50	53.29	39.44	128.48	22.45	65.22	82.19	29.35	65.22	52.25	85.11	65.99	62.50	14.88	50.51
22.31	239.54	72.36	54.29	50.98	18.60	53.86	39.31	128.93	22.40	65.31	82.52	29.32	65.73	52.69	84.93	66.39	63.11	14.75	50.91
22.06	238.49	72.04	54.86	51.33	18.53	53.87	40.24	129.35	22.59	65.40	83.84	29.27	66.42	53.53	85.62	65.98	63.76	14.65	50.42
22.14	235.97	72.99	55.30	50.83	18.33	53.24	39.47	128.25	22.39	65.77	83.88	29.16	66.25	53.83	85.81	66.68	63.36	14.47	49.91
21.84	235.00	72.61	55.00	50.34	18.20	53.15	37.19	128.25	22.29	65.20	83.22	29.29	65.57	54.10	85.26	66.16	63.27	14.46	49.41
21.64	235.85	73.53	54.87	50.81	18.30	53.26	37.71	128.77	22.34	64.90	84.09	29.77	65.72	53.65	85.46	66.77	63.66	14.56	49.46
21.49	232.39	74.11	54.77	49.83	18.40	52.97	37.53	128.59	22.33	64.82	84.82	29.59	65.78	53.93	84.98	66.55	63.73	14.54	49.71
21.49	230.90	72.59	54.65	49.80	18.34	53.42	35.61	129.26	22.24	64.38	84.24	29.66	65.53	53.83	84.44	66.59	63.69	14.50	49.58
21.36	226.65	72.49	54.80	49.49	18.30	53.50	35.09	129.24	22.35	64.57	83.53	30.01	64.98	54.22	83.41	66.55	63.62	14.59	49.60
21.38	229.37	72.32	54.62	49.13	18.45	53.06	35.42	128.53	22.43	64.75	83.88	29.65	64.94	54.66	84.34	66.26	63.61	14.49	49.89
21.79	228.36	72.18	55.30	49.54	18.33	53.15	36.15	129.37	22.67	65.36	84.78	29.88	65.19	55.17	85.34	66.86	64.53	14.99	50.34
21.35	224.75	71.91	54.54	48.82	18.07	52.95	35.95	127.98	22.24	65.10	85.71	29.60	64.94	54.72	84.95	66.31	63.88	14.81	50.22
21.12	222.25	70.72	54.75	48.62	18.07	52.49	35.93	127.71	21.99	65.11	86.90	29.59	65.54	54.82	84.84	66.56	63.84	14.57	50.56
21.59	224.65	70.87	53.95	48.98	18.19	52.73	36.09	128.38	22.20	65.06	85.94	29.61	65.05	54.94	84.77	66.52	63.73	14.88	51.03
21.56	224.12	69.38	53.84	48.89	18.04	52.23	36.60	127.76	22.24	64.65	84.86	29.63	64.90	54.82	84.63	66.57	64.01	15.06	51.19
21.36	224.45	68.72	53.70	48.69	18.07	52.35	36.35	128.67	22.01	64.53	84.62	29.37	64.63	54.86	84.62	66.07	63.53	14.77	50.75
20.94	223.84	69.40	53.65	48.35	17.29	52.42	35.76	127.83	21.17	64.57	84.12	29.29	64.31	54.78	84.37	66.15	63.70	14.44	50.21
21.15	226.60	69.83	53.35	48.09	17.04	52.36	36.30	127.94	21.27	64.18	83.09	29.27	64.00	54.70	84.15	65.10	63.32	14.38	49.99
20.88	225.50	70.07	53.60	47.95	16.48	52.02	35.90	127.60	21.25	64.22	83.03	29.18	64.75	54.74	84.08	64.97	63.17	14.34	50.14
21.05	224.84	70.01	54.20	47.99	16.51	51.78	34.65	125.62	21.19	64.29	82.58	28.97	64.55	54.67	83.58	64.43	63.01	14.83	49.88
21.00	223.02	67.79	54.18	47.99	16.49	51.88	34.60	125.55	20.94	64.27	82.22	28.80	64.00	54.64	84.50	64.36	63.30	14.63	49.86
21.22	219.08	67.24	54.46	47.98	16.27	51.73	34.49	126.41	20.77	64.20	81.09	28.63	64.16	54.32	83.95	64.15	63.19	14.72	50.06
21.11	218.95	67.93	54.70	48.49	16.35	52.03	34.36	127.25	20.79	64.04	81.27	28.59	64.22	54.21	84.21	64.37	63.69	14.67	49.94
20.76	210.71	65.55	54.47	47.95	16.11	51.51	34.08	126.72	20.53	63.57	79.27	28.63	63.08	53.79	84.16	64.11	63.67	14.63	49.73
20.69	209.33	64.45	53.93	47.91	16.03	51.10	33.81	126.88	20.52	63.40	78.85	28.46	62.32	54.33	83.86	63.98	63.55	14.59	49.85
20.57	208.85	64.44	53.30	47.63	15.90	51.12	33.64	127.42	20.70	63.44	79.21	28.46	62.91	54.26	83.86	63.80	63.71	14.65	49.93
20.48	208.99	64.00	53.27	47.37	15.90	51.54	33.78	128.57	20.87	63.39	78.86	29.02	63.01	55.52	83.79	63.43	63.51	14.77	49.31
20.26	204.62	63.16	52.72	47.34	16.06	50.79	32.88	127.16	20.53	63.00	77.76	28.67	61.26	55.32	82.94	62.47	63.28	14.48	48.43
20.15	202.00	62.87	53.12	47.70	15.92	50.92	33.18	127.07	20.63	63.28	76.99	28.60	61.12	55.06	83.11	62.30	63.70	14.57	48.65
19.91	200.66	63.48	55.16	48.16	16.12	50.79	33.43	127.59	20.70	63.45	77.56	28.63	61.69	54.88	82.96	62.08	63.89	14.65	48.88
19.68	197.06	62.77	54.83	47.12	15.95	50.12	33.13	126.46	20.39	63.31	76.90	28.33	61.24	54.39	81.89	61.78	63.21	14.41	49.10
20.05	200.42	63.97	55.38	48.21	16.25	50.56	33.30	126.85	20.87	63.49	76.94	28.73	61.67	54.77	82.08	62.41	63.42	14.52	49.66
19.78	201.67	63.59	55.72	48.08	16.17	50.79	33.09	127.19	20.82	63.81	77.21	28.77	61.21	55.26	81.75	62.66	63.45	14.61	49.80
19.91	202.93	62.89	55.91	47.73	16.24	50.81	33.69	127.81	20.84	64.53	77.33	28.97	61.51	54.81	82.44	62.53	63.39	14.63	48.90
18.51	202.55	61.82	55.33	47.17	16.15	50.12	33.48	126.33	20.66	63.98	76.37	28.59	59.94	54.43	81.20	62.11	62.85	14.44	48.66
18.31	203.40	61.26	54.82	46.95	16.04	49.44	33.35	125.23	20.72	63.61	76.03	28.35	59.56	54.25	80.62	61.31	62.83	14.54	48.79
17.87	200.38	59.65	53.98	46.21	15.55	48.46	34.08	124.00	20.43	62.72	75.58	27.93	58.89	53.71	79.66	60.92	61.76	14.25	47.87
18.19	198.67	60.59	54.22	46.53	15.77	48.62	34.44	123.73	20.06	62.91	76.35	28.12	59.41	53.86	80.33	61.19	61.96	14.26	48.27
17.67	195.12	59.54	53.79	45.47	15.69	48.02	34.26	122.81	19.69	62.73	75.11	27.99	58.54	53.22	79.82	60.38	61.67	13.95	47.74
17.97	196.19	59.74	54.01	45.81	15.60	48.12	34.63	123.21	19.65	62.76	75.45	28.01	59.55	53.58	80.17	60.05	61.76	13.84	48.10
17.30	194.12	57.89	52.65	44.47	15.60	47.59	34.14	121.88	19.35	62.37	74.53	27.72	57.97	53.08	79.09	58.96	61.01	13.74	48.11
17.57	195.46	58.40	53.09	45.15	15.79	47.32	35.11	123.52	19.47	62.64	75.72	28.02	57.66	53.41	79.26	59.51	61.30	13.70	48.66
17.93	192.05	59.32	53.43	45.27	16.04	47.03	33.92	123.00	19.02	62.64	76.00	27.84	57.90	54.11	79.67	59.64	61.40	13.35	48.18
18.66	199.23	61.46	54.87	46.56	16.68	48.73	34.37	125.66	19.68	63.63	76.69	28.63	58.51	54.80	80.82	61.29	62.65	13.85	49.07
18.95	195.86	61.94	55.05	46.77	16.85	48.59	34.73	125.53	19.91	63.99	76.55	28.46	58.18	54.72	81.05	61.15	62.90	13.82	49.60
18.48	194.73	61.70	54.38	42.48	16.25	47.83	34.22	124.67	19.61	63.09	74.89	28.41	57.92	54.06	79.94	60.70	61.99	13.68	49.13
18.03	192.06	60.60	54.25	41.54	16.08	47.07	34.25	122.39	19.40	62.86	74.52	28.18	56.60	53.53	80.03	59.62	61.55	13.26	48.94
18.19	199.29	62.56	54.18	41.67	16.16	47.79	34.78	123.75	19.92	63.80	76.15	29.16	56.64	54.06	79.99	59.74	61.68	13.59	48.90
18.88	207.88	61.93	54.51	42.06	16.30	49.45	34.02	126.33	20.24	63.44	77.13	29.67	56.74	54.55	80.39	60.29	60.81	14.02	48.95
18.51	205.94	57.71	54.14	42.17	16.35	49.74	33.94	125.75	20.00	62.79	76.78	29.50	56.03	54.37	80.38	60.25	60.69	13.87	49.00
18.47	203.07	57.78	54.35	42.51	16.37	50.06	35.57	126.12	20.32	63.22	76.76	29.32	55.70	53.46	80.47	60.23	60.63	13.86	49.32
17.99	197.75	57.77	54.24	42.08	16.11	49.29	34.42	125.50	19.91	63.20	75.58	28.96	55.63	53.57	80.71	60.39	60.31	13.70	49.02
18.66	208.07	59.20	54.37	43.11	16.02	51.29	33.51	129.00	20.84	63.97	76.98	30.01	56.68	53.48	79.07	60.94	59.84	14.21	50.17
19.08	211.73	60.20	55.50	44.24	16.50	52.21	33.63	130.25	21.08	65.15	78.11	30.59	58.29	53.53	79.21	61.95	60.45	14.49	50.53
19.83	215.04	60.65	56.42	44.73	16.54	52.75	33.72	134.14	21.05	65.35	78.31	31.10	58.94	53.70	80.59	62.33	61.72	14.45	50.71
20.04	205.93	60.82	56.29	44.32	16.44	52.47	32.38	131.78	20.80	64.56	76.76	30.86	58.62	52.88	80.00	62.29	60.82	14.37	50.28
20.24	209.43	61.56	57.13	44.94	16.70	52.51	32.41	132.31	21.48	65.10	76.84	30.96	59.30	53.65	80.42	62.80	61.58	14.61	50.52
20.16	210.65	61.16	57.03	44.52	16.83	52.22	31.94	130.23	20.96	64.97	76.88	30.35	59.29	53.02	81.06	62.05	61.52	14.87	50.64
