%"wig20"	"acp"	"bio"	"bre"	"bzw"	"cez"	"cps"	"gtn"	"gtc"	"kgh"	"lts"	"pbg"	"peo"	"pkn"	"pko"	"pxm"	"tps"	"tvn"
2547.52	56.9	0.22	282	218	143.9	14.78	10.92	23.4	110.5	33	237	168.8	39.11	42.7	4.84	16.05	18.99
2534.41	56.7	0.23	277.2	214	143.8	14.72	10.85	23.9	111	32.41	231.3	168.1	38.11	42.19	4.94	16.2	19
2486.53	56.5	0.22	271	214	142.1	14.6	10.5	23.6	110	32	231.4	165.1	36.9	40.26	4.75	16.11	18.67
2535.67	56.9	0.23	277.2	215.8	142.9	14.8	10.76	23.9	112.5	32.95	235	169	37.99	41.05	4.89	16.44	18.8
2577.26	57.2	0.23	286.7	216.9	140.8	14.96	10.99	24	115.4	32.75	234	175.8	38.03	41.75	4.99	16.57	19.31
2514.63	57	0.22	274.2	215	140	14.61	10.75	23.36	111.1	31.25	220	170.6	37.05	40.9	4.8	16.55	18.35
2483.68	56.05	0.21	265.3	210.9	138.1	14.5	10.55	23.25	109.1	30.65	218	167.6	36.96	40.9	4.86	16.35	17.85
2545.99	57.55	0.22	276	215	137.8	14.81	10.95	23.75	112	31.9	218.5	173.5	38.2	42.1	4.95	16.59	18.08
2569.41	56.4	0.22	280.6	216	139	15	11.07	23.2	115.4	32.09	220	177.3	37.9	43.3	4.95	16.32	18
2534.38	56.2	0.22	275	214.2	140	14.31	10.93	23	113.2	31.85	220	173.5	37.15	42.51	4.95	16.35	17.32
2594.83	59.65	0.22	287	220	141.8	15	11.06	24	113.2	33	228	178	38.5	43.6	5.1	16.67	18.3
2601.01	59.35	0.22	293.7	219.9	140.4	15.02	11.09	24.35	115.7	32.75	220	177	38.47	43.89	5.07	16.66	18
2604.76	58.9	0.23	294	220.9	139.1	15.02	11.22	24.5	116.1	33	219.9	178.8	38.3	43.52	5.05	16.66	17.88
2587.69	59.3	0.22	289.7	218.5	139.7	15.01	11.17	24.9	116	33	219.5	176	37.9	42.59	4.99	16.67	17.8
2578.66	59.3	0.23	285	215	140	15.15	11.07	24.75	116	33.25	219	172.9	37.96	42.4	4.97	16.66	17.9
2553.58	59.3	0.22	279.7	216.7	140.1	15.1	11.03	24.75	111	32.3	216	172.2	37.94	41.94	4.98	16.64	18.04
2522.36	58.7	0.23	266.2	212	138.5	15.1	11	24.45	107.2	31.49	215.5	170	37.62	41.8	4.94	16.45	18.09
2561.5	59.8	0.22	273	215.7	139	15.63	11.14	24.57	109.5	31.55	216	172.9	38.64	42.5	5.04	16.45	18.65
2575.36	59	0.22	275	216.5	136.1	15.76	11.37	24.95	110.6	31.4	216	173	39.4	42.5	5.24	16.5	18.25
2552.5	57.6	0.23	270.9	216.9	134.8	15.71	10.96	25	109.5	30.29	216	170.3	38.9	41.9	5.29	16.66	18.14
2495.6	56.8	0.23	259.9	205.9	135.8	15.6	10.75	24.8	107.3	29.5	215.5	166	38.8	39.95	5.1	16.21	18
2506.24	56.2	0.23	265	198	140	15.6	10.77	24.78	106.9	30	215.5	167.7	39.05	39.98	5.05	16.66	18.4
2485.35	56	0.23	266.9	194.5	138.5	15.7	10.69	24	105.6	29.85	215	166	38.6	39.6	5.03	16.71	18.2
2495.65	56.6	0.24	263.9	199	139.9	15.85	10.72	23.7	105.5	30.15	215	167.3	38.7	40.09	4.94	16.7	18.55
2495.13	56.3	0.24	259.9	195	135.5	16	10.5	22.78	104.5	29.98	215.4	170.5	39.6	40.14	4.72	16.7	18.3
2445.32	56.05	0.22	252	191	134.4	15.79	10.43	23.44	102.2	28.81	217.6	166	38.7	38.9	4.65	16.54	17.05
2456.24	56.1	0.22	253	190.5	137.9	15.63	10.38	23.2	103.4	29.51	216.9	165.5	38.39	39.4	4.67	16.69	17.01
